iter	Passed	Remaining
0	149	149589
1	151	75621
2	153	50966
3	154	38589
4	156	31126
5	157	26147
6	159	22607
7	161	20059
8	163	18050
9	165	16375
10	166	14996
11	168	13846
12	169	12882
13	171	12049
14	172	11329
15	173	10695
16	175	10139
17	176	9648
18	179	9261
19	180	8860
20	182	8502
21	183	8166
22	185	7865
23	186	7595
24	188	7335
25	191	7182
26	193	6966
27	195	6780
28	197	6602
29	198	6433
30	200	6262
31	201	6102
32	203	5952
33	204	5813
34	205	5678
35	207	5552
36	209	5441
37	210	5335
38	212	5229
39	213	5126
40	214	5027
41	216	4933
42	217	4842
43	218	4756
44	220	4672
45	221	4591
46	222	4513
47	224	4456
48	226	4390
49	227	4325
50	228	4260
51	230	4200
52	231	4143
53	233	4085
54	234	4029
55	235	3975
56	237	3923
57	239	3888
58	241	3847
59	242	3802
60	244	3760
61	245	3718
62	247	3678
63	248	3639
64	250	3598
65	251	3562
66	253	3526
67	255	3499
68	256	3463
69	258	3428
70	259	3394
71	260	3363
72	262	3331
73	263	3301
74	265	3270
75	266	3239
76	267	3212
77	269	3191
78	271	3163
79	272	3135
80	274	3109
81	275	3085
82	276	3053
83	277	3028
84	279	3005
85	280	2982
86	281	2958
87	283	2934
88	285	2921
89	286	2899
90	288	2877
91	289	2857
92	291	2838
93	292	2818
94	293	2798
95	295	2779
96	296	2762
97	298	2743
98	299	2729
99	301	2713
100	303	2697
101	304	2685
102	306	2669
103	307	2653
104	309	2635
105	310	2619
106	311	2603
107	313	2588
108	315	2576
109	316	2564
110	318	2552
111	320	2539
112	321	2525
113	323	2511
114	324	2497
115	325	2483
116	327	2468
117	328	2455
118	330	2447
119	332	2436
120	333	2425
121	335	2411
122	336	2401
123	338	2389
124	339	2376
125	340	2363
126	341	2349
127	342	2336
128	344	2324
129	346	2316
130	347	2307
131	349	2296
132	350	2285
133	352	2274
134	353	2265
135	355	2255
136	356	2244
137	357	2234
138	359	2224
139	361	2219
140	362	2210
141	363	2198
142	365	2189
143	366	2179
144	368	2170
145	369	2160
146	370	2152
147	372	2143
148	373	2135
149	375	2130
150	377	2122
151	378	2113
152	380	2105
153	381	2097
154	383	2088
155	384	2080
156	385	2072
157	387	2063
158	388	2055
159	390	2051
160	391	2041
161	393	2033
162	394	2025
163	395	2017
164	397	2010
165	398	2002
166	399	1994
167	401	1987
168	402	1980
169	404	1973
170	405	1967
171	407	1962
172	409	1955
173	410	1948
174	411	1941
175	413	1935
176	414	1928
177	416	1921
178	417	1915
179	418	1908
180	420	1904
181	422	1898
182	423	1891
183	425	1885
184	426	1878
185	427	1872
186	429	1868
187	431	1861
188	432	1856
189	434	1850
190	435	1846
191	437	1841
192	439	1836
193	440	1831
194	442	1825
195	443	1820
196	445	1814
197	446	1808
198	447	1802
199	449	1796
200	450	1791
201	452	1787
202	454	1782
203	455	1776
204	456	1771
205	457	1764
206	459	1758
207	460	1755
208	462	1750
209	463	1745
210	465	1739
211	467	1737
212	468	1731
213	470	1727
214	471	1722
215	473	1717
216	474	1712
217	475	1706
218	477	1701
219	478	1697
220	480	1692
221	482	1690
222	483	1686
223	485	1681
224	486	1675
225	487	1670
226	489	1666
227	490	1661
228	491	1656
229	493	1651
230	494	1646
231	496	1642
232	498	1639
233	499	1635
234	500	1630
235	502	1627
236	504	1623
237	505	1618
238	506	1613
239	508	1609
240	509	1605
241	511	1602
242	513	1598
243	514	1595
244	516	1591
245	517	1587
246	519	1583
247	521	1579
248	522	1575
249	524	1572
250	525	1568
251	527	1567
252	529	1562
253	530	1558
254	532	1554
255	533	1551
256	535	1547
257	536	1543
258	538	1539
259	539	1536
260	541	1532
261	543	1530
262	544	1526
263	546	1523
